"","Cement","BFS","FA","Strength"
"1",1,-1,1,79.99
"2",1,-1,1,61.89
"3",-1,1,-1,40.27
"4",-1,1,-1,41.05
"5",-1,1,1,44.3
"6",-1,1,-1,47.03
"7",1,-1,-1,43.7
"8",1,-1,-1,36.45
"9",-1,1,-1,45.85
"10",1,-1,-1,39.29
"11",-1,1,1,38.07
"12",-1,1,1,28.02
"13",1,-1,-1,43.01
"14",-1,1,-1,42.33
"15",-1,-1,-1,47.81
"16",1,-1,-1,52.91
"17",-1,1,1,39.36
"18",1,-1,-1,56.14
"19",1,-1,-1,40.56
"20",1,-1,-1,42.62
"21",1,-1,-1,41.84
"22",-1,1,1,28.24
"23",-1,1,1,8.06
"24",-1,1,1,44.21
"25",1,-1,-1,52.52
"26",1,-1,-1,53.3
"27",1,-1,-1,41.15
"28",1,-1,-1,52.12
"29",1,-1,-1,37.43
"30",1,-1,-1,38.6
"31",-1,-1,-1,55.26
"32",-1,1,-1,52.91
"33",-1,1,1,41.72
"34",1,-1,-1,42.13
"35",-1,1,-1,53.69
"36",-1,1,-1,38.41
"37",-1,1,-1,30.08
"38",-1,1,-1,37.72
"39",1,-1,-1,42.23
"40",-1,1,-1,36.25
"41",1,-1,-1,50.46
"42",1,-1,-1,43.7
"43",-1,1,-1,39
"44",1,-1,-1,53.1
"45",1,-1,-1,41.54
"46",1,-1,-1,35.08
"47",1,-1,1,15.05
"48",1,-1,-1,40.76
"49",-1,1,-1,26.26
"50",1,-1,-1,32.82
"51",-1,1,-1,39.78
"52",-1,1,-1,46.93
"53",-1,1,-1,33.12
"54",-1,-1,-1,49.19
"55",-1,1,1,14.59
"56",-1,1,1,14.64
"57",1,-1,-1,41.93
"58",-1,1,1,9.13
"59",-1,-1,-1,50.95
"60",-1,1,-1,33.02
"61",-1,-1,-1,54.38
"62",-1,1,-1,51.73
"63",-1,-1,1,9.87
"64",-1,1,-1,50.66
